Plot,system,months,Month,season,rainfall,leaf_tree,leaf_rubber,flower,fruit,fruit_other,branch,sum(Mg ha-1 m-1),sum(Mg ha-1 yr-1),Year
HR1,R,Mrz,3,rain,71.8,0.111250165,1.842753401,0.041020255,0.234778215,0,0.535164352,0.230413866,2.764966388,2014
HR1,R,Apr,4,rain,286.6,0,0.707653061,0,1.184562341,0,0.035935507,0.160679242,1.928150909,2013
HR1,R,Mai,5,dry,133.6,0,1.721878189,0,0,0.019320791,0.245117985,0.165526414,1.986316964,2013
HR1,R,Jun,6,dry,17.7,0.042253695,4.222372742,0,0.024872742,0,1.822602627,0.509341817,6.112101806,2013
HR1,R,Jul,7,dry,322.1,0.010475128,4.42574139,0,0.027351722,0,0.209939015,0.389458938,4.673507254,2013
HR1,R,Aug,8,dry,56.7,0.007668067,11.13115809,0.029873512,0,0,0.210232843,0.948244376,11.37893251,2013
HR1,R,Sep,9,dry,194.4,0.073869048,6.223105159,0,0.022631448,0,0.294389881,0.551166295,6.613995536,2013
HR1,R,Okt,10,rain,161.5,0.04989532,0.373765394,0.064279557,0,0,0.447934113,0.077989532,0.935874384,2013
HR1,R,Nov,11,rain,271,0.048204985,0.325078125,0.017109375,0,0,2.047014509,0.20311725,2.437406994,2013
HR1,R,Dez,12,rain,526.5,0.022561813,0.53020261,0.008147321,0,0.00203683,0.423190677,0.082178271,0.986139251,2013
HR2,R,Jan,1,rain,278.5,0.038102511,0.646272489,0.001592709,0.505501477,0.01702974,0.151307398,0.113317194,1.359806324,2014
HR2,R,Feb,2,rain,57.8,0,1.19969308,0,1.289604592,0,0.158436304,0.220644498,2.647733976,2014
HR2,R,Mrz,3,rain,71.8,0.026538225,2.194886664,0,1.083726009,0,0.704600239,0.334145928,4.009751137,2014
HR2,R,Apr,4,rain,286.6,0,1.962740653,0,1.020070103,0,0.600355748,0.298597209,3.583166504,2013
HR2,R,Mai,5,dry,133.6,0.033898677,2.371161511,0,0.050629783,0,0.395581553,0.23760596,2.851271524,2013
HR2,R,Jun,6,dry,17.7,0.03188693,4.150638855,0,0.155080049,0,0.522833282,0.405036593,4.860439116,2013
HR2,R,Jul,7,dry,322.1,0.086856266,4.536748645,0,0.13603117,0,0.1140625,0.406141548,4.873698581,2013
HR2,R,Aug,8,dry,56.7,0.033821654,14.20701155,0,0.147884154,0,0.328631453,1.226445735,14.71734881,2013
HR2,R,Sep,9,dry,194.4,0.132801339,6.364008557,0.177747396,0.477704613,0,0.279317336,0.61929827,7.431579241,2013
HR2,R,Okt,10,rain,161.5,0.217261905,0.673511905,0.242584154,0,0,0.467937192,0.133441263,1.601295156,2013
HR2,R,Nov,11,rain,271,0.083128139,0.827844238,0.032461984,0.043409947,0,0.611176409,0.133168393,1.598020717,2013
HR2,R,Dez,12,rain,526.5,0.129542411,0.678508929,0.007821429,0.182174107,0,0.727066964,0.143759487,1.725113839,2013
HR3,R,Jan,1,rain,278.5,0,0.727484336,0,0.185587406,0,0.083359962,0.083035975,0.996431704,2014
HR3,R,Feb,2,rain,57.8,0,2.147692124,0,3.851937181,0,0.22536073,0.51874917,6.224990035,2014
HR3,R,Mrz,3,rain,71.8,0,1.840177296,0,0.389209184,0.029330357,0.26714648,0.21048861,2.525863316,2014
HR3,R,Apr,4,rain,286.6,0,0.693540737,0,1.686350048,0,0.931849888,0.275978389,3.311740673,2013
HR3,R,Mai,5,dry,133.6,0.006828231,1.863020833,0,0.628973214,0,0.23712585,0.227995677,2.735948129,2013
HR3,R,Jun,6,dry,17.7,0.006321198,2.984729064,0,0.072342595,0,0.079366148,0.261896584,3.142759006,2013
HR3,R,Jul,7,dry,322.1,0.081628401,5.409511054,0,0,0,0.099940476,0.465923328,5.591079932,2013
HR3,R,Aug,8,dry,56.7,0,8.258987658,0,0,0,0.289349724,0.712361448,8.548337382,2013
HR3,R,Sep,9,dry,194.4,0.000814732,7.150360863,0.23749442,0.05811756,0,0.61797433,0.672063492,8.064761905,2013
HR3,R,Okt,10,rain,161.5,0.029057442,1.116383709,0.340020232,0,0,0.262640746,0.145675177,1.748102129,2013
HR3,R,Nov,11,rain,271,0,0.586607143,0.101114078,0,0,0.39165338,0.089947883,1.079374601,2013
HR3,R,Dez,12,rain,526.5,0,0.82485989,0.018851648,0.134568681,0,0.853538462,0.152651557,1.831818681,2013
HR4,R,Jan,1,rain,278.5,0.062205514,0.556190476,0,0.062434211,0,0.108059211,0.065740784,0.788889411,2014
HR4,R,Feb,2,rain,57.8,0.056199891,1.593715835,0,0,0,0.612878098,0.188566152,2.262793823,2014
HR4,R,Mrz,3,rain,71.8,0.066081044,2.144675824,0,0.008505302,0,0.10589011,0.19376269,2.32515228,2014
HR4,R,Apr,4,rain,286.6,0.009547642,1.326740374,0,0,0.002927944,0.223032924,0.130187407,1.562248884,2013
HR4,R,Mai,5,dry,133.6,0,2.648752392,0,0,0,0,0.220729366,2.648752392,2013
HR4,R,Jun,6,dry,17.7,0.00192646,4.646782635,0,0.013003607,0,0.041418895,0.391927633,4.703131597,2013
HR4,R,Jul,7,dry,322.1,0.016294643,4.859217687,0,0,0,0.09233631,0.413987387,4.967848639,2013
HR4,R,Aug,8,dry,56.7,0.049970238,8.094922969,0,0,0,0.645140056,0.732502772,8.790033263,2013
HR4,R,Sep,9,dry,194.4,0,2.45170184,0,0,0,1.122058983,0.297813402,3.573760823,2013
HR4,R,Okt,10,rain,161.5,0.049445813,0.247871217,0.041739972,0,0,0.192324947,0.044281829,0.531381949,2013
HR4,R,Nov,11,rain,271,0.020054945,0.330279876,0,0,0,0.077712912,0.035670644,0.428047734,2013
HR4,R,Dez,12,rain,526.5,0,0.461811905,0,0,0,0,0.038484325,0.461811905,2013
